投诉问题,投诉对象,发布日期,投诉要求,投诉内容
 拒绝协商还款,宁波银行,2022年03月02日 15:15, 延期两个月还款,本人因失业无偿还能力，基本生活都无法保障，去年因被宁波银行在未告知的情况下起诉，并冻结本人名下包含微信，支付宝和所有银行卡，被迫和银行签署了每月还款高达2500元的还款协议，本想着尽快工作了，按月正常还款，可刚协商完西安就遇到疫情无法上班，故而希望可以协商还款时间再延期两月，但遭到银行方面拒绝，我想说的是作为拖欠人我是不对，但凡有点办法也不会这样，你们银行是要把人往死路上逼吗？希望这件事情可以尽快得到解决。
" 冻结账户,客服服务态度差",宁波银行,2022年03月01日 18:43," 解释,解封账户",我的宁波银行卡，莫名其妙被冻不让用，我早上还买了一杯咖啡，我晚上要打车回家，十几公里的路就是不能支付，打电话发信息问一直支支吾吾就是不说是因为什么原因造成客服装机器人不回答问题就直接结束让我评价服务态度
 虚假宣传,宁波银行,2022年03月01日 12:15," 退款,减免提前还款手续费",宁波银行旗下万利金业务，通过推出各种打折优惠券，误导顾客办理贷款，月手续费0.6%，说年利率只需7.2%，而实际所谓的等额本息，则通过复利计算，本金还少，利息依然计算，综合年化为15%左右，我一直以为我的贷款年化是7.2%，实际高达15%，无能为力，不敢用了，提前还款还不能直接还，还需要3%的手续费，费用极高，非常不合理，请求取消提前还款手续费，再也不想用这个贷款了，我立即把万利金所有贷款全部还完。
 虚假宣传,宁波银行,2022年02月28日 19:41, 退款,一开始推荐说是每月6%，作为不是专业的金融人员，后知后觉才发现，每月还了本金和利息，但是利息还是按照原本金金额算的，总的算起来才发现是年化18%，提前还款还要收取本金3%的违约金！相当于每月1.2%的利息！网上一查很多投诉万利金的，作为一家大银行，出现这么多的问题，难道金融监管机构不管吗？
 直接贷还款问题,宁波银行,2022年02月28日 17:17, 个性化分期,因为个人被骗加投资不当，导致钱还不上，现在想分期还款，一个月6000工资，除去别的贷款，努力拿一半的工资来还，都不行，仍有自称法院调解的给我及家人打电话，希望贵行同意我的协商分期方案，根据自身情况！
 逾期罚息过高,宁波银行,2022年02月27日 20:48," 退款,赔偿",当初宁波银行直销贷到期后跟银行工作人员协商好先还两万进去延期一年还款，但是银行现在说我逾期要起诉我还有不停的罚息，跟当初协商根本不一祥！每天产生高额度罚息
 提前还款收3%违约金,宁波银行,2022年02月25日 16:58, 免收违约金,2021年10月办理的宁波银行万利金信用卡，共计提款20万。现在要提前还款，竟然需要收3%剩余本金的手续费，哪有这种道理？前面我分期的多笔已经交过分期手续费了，每期600元，已经还了5期了共收了3000元手续费了。现在提前还款还需要再缴纳5500元的手续费，是欺诈呀。当时办理的时候根本没有讲清楚。现在要求提前还款，并免于支付提前还款手续费。多次拨打宁波银行客服投诉未果，请协助。
" 客服服务态度差,暴力催收",宁波银行,2022年02月25日 15:13," 解释,改善服务",宁波银行催收人员与我协商不成，恐吓我要给我们单位打电话。然后每隔几天就给我来电，我一接通他就挂断，然后就打给我们公司了，现在已经对我的工作造成很大的影响，我多次投诉，多次无果，没有任何人跟我联系，也没有任何人给我解释，一直还是这样骚操作，不停的把催收电话打到公司。我给他们回电，接通就挂断，不沟通，致电客服投诉也无果。
 冻结账户,宁波银行,2022年02月23日 20:44, 解封账户,开始说身份信息过期，更新之后还是无法把钱转出去，就显示账户被冻结，也没有个人工客服，投诉都没地方。
" 虚假宣传,过度放贷",宁波银行,2022年02月23日 12:28, 减免额外手续费,本人多次尝试与贵行沟通，多次联系无果，并被告知沟通无用，本人要求贵行积极解决问题，减免多收的手续费，详细情况见下图。
 道歉，停止对家人骚扰,宁波银行,2022年02月22日 22:37," 解释,道歉",因为疫情，生意失败，导致2021年债务爆发，宁波直接贷逾期了，首先联系我要求还款，并且我也解释了原因并告知并不是恶意不还，只是现在暂时没有能力还。然后宁波直接贷就委托第三方催收公司并且一直给我打电话要求一次性还清，我要是能一次性还清我还至于逾期吗，并且扰乱我正常工作，年底之前联系我并且我已还了一半，另一半我也和第三方协商再给我点时间，我会想办法还清，现在刚过完年，我到处凑钱也得要时间，而且过完年钱也不好借，第三方要求本月月底还清，之前也告知白天我在上班，无法接电话，也加了微信，再能联系到我的情况下，还给我家里人打电话。要求宁波银行给我个解释，并且道歉。
" 客服服务态度差,暴力上门催收",宁波银行,2022年02月22日 10:42," 赔偿,解封账户,道歉",宁波银行，在负债人未失联、未知的前提下，暴力上门催缴在上门前，宁波银行总部及南京公司负责人，相继给负债人打了电话，均未告之要上门。现家中老人受到惊吓，血压居高不下，心脏病发作，已住院治疗。宁波银行将我的负债情况告之紧急联系人，根据相关法律规定，不得骚扰与债务无关的第三方人员。现在我老婆因债务问题，提出跟我离婚，我将净身出户。为此联系宁波银行客服，客服回复说3个工作日内将有专人给我解决此事，从事发至今已经好多天了，未接到相关人员的电话。这种套路手段极其恶劣，至今未接到银行方面的道歉，我是欠你们的钱，不是欠你们命，你这是要把我逼上绝路啊。但是我没有逃避，所有电话我都接，只是遇到困难而已，我主动找你们沟通还款事宜，你们置之不理。必须给我个说法。
" 服务不到位,无协商还款政策",宁波银行,2022年02月21日 18:56," 改善服务,提供停息挂账还款",创业失败，个人债务全面逾期，主动联系银行客服希望协商还款，没主动联系没有骚扰电话。主动联系反而一天换不同人联系，一个问一次情况，情况说了也并无实际性方案并表示无协商还款政策，叫本人要去找亲朋好友借，有地方借还会让逾期吗？请问我一天光接电话也不用赚钱了，如何还钱？借呗、花呗、信用卡也逾期，有还款意愿，希望根据实际情况协商还款。
 逾期宁波银行拒协商,宁波银行,2022年02月19日 23:33, 协商还款给予时间,遭遇变故，个人债务全面逾期，联系银行客服表示平台“直接贷”业务逾期无协商还款政策，需按合同规定，有罚息。本人名下贷款、信用卡已全面逾期，有还款意愿，需协商还款
" 冻结账户,贷款二次分期",宁波银行,2022年02月19日 20:16, 贷款二次分期,直接贷额度本来是2023年7月份到期，现在莫名把我的额度直接冻结，实体生意不好做以失败告终，现在刚找到工作，以目前的工资水平是不能把每月的欠款都还上的，想把欠的贷款再重新做一次分期，但是宁波银行那边不同意，恳求各位领导能帮忙处理一下，非常感谢！
" 功能限制,虚假宣传,客服服务态度差",宁波银行,2022年02月19日 15:18," 解释,改善服务",我于2022年2月19日通过饿了么APP进入银行，页面下方展示着各大银行的信用卡申请渠道，我选中的是宁波银行饿了么联名信用卡，点击立即申请，随后页面跳转到支付宝与对应的银行相关联的申请入口让我填写信息资料，我在全部真实信息填写完成后，大约几分钟后，返回申请页面看到审核失败字样，然后我电话联系上宁波信用卡热线客服中心，客服表示经过他们银行内部的系统评估，我的综合评分太低无法为我申请信用卡，我只想知道有什么办法可以再次提交申请吗
 霸王条款违规收费,宁波银行,2022年02月15日 13:54," 退款,改善服务,赔偿",1、提前还款在本人未签字确认情形下加收3％手续费，2、未给客户明确操作规则导致误操作，24小时内无法撤销或更改，3、变更后不仅高额违规收取手续费，外加提前还款费，极其不合理，说无法撤销
 万利金提前还款手续费,宁波银行,2022年02月13日 15:19, 减免手续费,宁波银行申请的万利金需要提前还款  但是手续费很高 之前的工作人员没有告知
 不解决问题,宁波银行,2022年02月11日 13:11, 改善服务,本人尤悦胜，因疫情原因，加上生病提前退休，暂时资金困难，希望能得到协商解决还款问题。
 冻结账户,宁波银行,2022年02月11日 13:00, 解封账户,2020年宁波将本人额度冻结，截止目前多次于宁波银行客服沟通，希望解冻额度后在使用，均已本人换单位为理由，拒绝解冻，业务人员办卡时未告知本人会有这种情况，因资金周转确实存在查询多的情况，均按时还款从未逾期，请宁波银行综合本人有能力，有意愿按时还款的基础上，恢复卡片正常使用
 非法放贷,宁波银行,2022年02月10日 10:58," 解释,赔偿",我没有和宁波银行有任何接触，只是在参加一个当地的套餐活动，被营业厅误导参加了一个包月套餐，在没有任何提醒的前提下，莫名其妙被分期做了一笔变相贷款，什么叫包储蓄卡分期？我压根不懂
 信用卡推荐活动太坑,宁波银行,2022年02月09日 17:05, 尽快核对完成礼品兑换,本人参加信用卡想赚就转活动，推荐后后台数据不准，1月中旬沟通反馈至今未处理好，活动组织考虑不全面，显示4人达标，本人了解后有6人达标，多次沟通至今未处理好。对待投诉不重视，年前投诉信用卡活动组织部门，至今未接到处理投诉的相关电话。对待问题咨询处理不及时，遇到过年未有交代，就去休息了，节后上班至今未处理好1月中询的事宜，
" 冻结账户,虚假宣传",宁波银行,2022年02月07日 16:22," 解释,解封账户",宁波银行在推销直接贷业务时，销售误导。未通知的情况下停贷，导致资金周转困难。
 私自扣扣款好多次,宁波银行,2022年02月07日 10:07, 退款,连续好几个月都有自动扣款十元的信息，扣款详情也看不了，我也没有用。
 还款时间和系统冲突,宁波银行,2022年02月05日 13:46, 清楚逾期,晚上23点不能还款系统维护只能弟2天还导致逾期
 钓鱼纠纷,宁波银行,2022年02月04日 14:38," 解释,赔偿",支付宝绑定的宁波银行储蓄卡，在借记卡账户为0的情况下，银行未经本人提款发放一笔200元的贷款支付出去，用的借记卡为什么变成贷款，银行是不是违规发放贷款，正常银行怎么会这样，涉及钓鱼
 直接贷额度突然减少,宁波银行,2022年01月28日 15:58, 这样会给我造成逾期,你说你涨点利息也就算了，现在直接把额度减了，我肯定会逾期的，本来想着赚钱慢慢还的，现在直接还不起了，不是我想逾期，是真还不起
 私自扣款,宁波银行,2022年01月28日 15:49, 退款,刷卡200以上不经过客户同意自动分期，我打了电话已经全额还款，但是还是收了我50.1分期手续费。
 抽贷，套路贷,宁波银行,2022年01月26日 18:29, 解封账户,2020年宁波银行致电给我，说是优质客户，给我直接贷20万的额度，授信3年，各种给我优惠券，用了两年左右。可用额度保持8到10万，未曾逾期。2021年7月份，莫名其妙提高了利率。2022年1月份，直接降额到5万。使用期间，我也没有逾期过。就在前两个星期，还打电话过来说我是优质客户，直接贷授信时间可以延长，然后介绍身边的朋友使用这个产品等等。这种难道不是套路贷？突然就降额度，而且还是直接降了十几万，甚至连个提前通知都没有，而且还是发生在过年？
 信用卡消费自动分期,宁波银行,2022年01月26日 14:48," 退款,改善服务",在查看信用卡账单时发现3000多的一笔孩子王的消费被自动分期当时在消费后及时还款了。在致电客服时说信用卡满2000自动分期即分36期每期12元左右的利息，提前还款需要支付106的利息而且不能取消。在办理信用卡时未告知自动分期事由，现在只能提前还款由此产生了106的利息手续费。
 信用卡，26000额,宁波银行,2022年01月26日 12:04, 信用卡罚息加继续两万,额度26000，疫情期间逾期利息加罚息，变成71885.43
" 虚假宣传,额外收取手续费",宁波银行,2022年01月25日 18:43, 退款,2021年6月27日，宁波银行工作人员前后好几次联系我推销万利金，说现在有利息打折优惠券，强烈推荐我办理。随后我办理了10万额度和轻松分的分期方式，当初说利率打4折，但还了几期我才发现这里面利息其实很高，因为后期本金少了，利率还是那么高，发现利息计算不是当初宣传的那样。办理时说支持满半年随时提前还，并且无违约金。但现在却要高额的提前还款手续费1200元，这这算起来比高利贷还高。所以强烈要求宁波银行免去突然出现的所谓的提前还款手续费，给我办理好提前还款业务！！！并请有关部门严查宁波银行这种被很多老百姓普遍投诉的虚假宣传欺骗行为！！！
 套路贷，多收利息,宁波银行,2022年01月24日 16:36, 退回多收利息,1、宁波银行万利金业务违反2022年1月20日，中国银保监会官网发布《关于防范“套路”营销行为的风险提示》的文件指示精神，属于严重违纪侵犯消费者权益的行为。2、业务人员刘某虚假宣传，说得天花乱坠，说刚好有利息打4.5折、4折优惠券，说年费率3.24%，不停宣传他利息低，推荐我办理，从未说过每期还款时对于已经归还的本金还依旧要计算利息。在他们工作人员的虚假宣传下，我办理了15万的万利金消费贷。通过前面三期的还款，我发现他们暗藏套路，每个月的还款利息均固定按照本金15万来计算利息，实际上我每月都归还本金1.1538万元，本金是逐渐减少的，但已归还的本金还在计算利息，重复计算利息，实际支付的利息是说好的利息3.24%的2倍，严重侵害我的权益。3、办理万利金业务，没有提供过合同-还款计划书等文件明示客户，侵犯消费者的知情权，使消费者一直误以为年费率为3.24%，但宁波银行采取已归还的本金依然收取利息的套路，侵害客户权益。对于已归还的本金还要计算利息的做法，从未明示过给消费者。涉嫌虚假宣传，4、无奈之下，我办理提前还款，被告知要支付未偿还本金的1.5%作为手续费，这一点宁波银行业务员从未明示过我，我要求宁波银行停止不法侵害，给我办理提前还款，免除手续费。
" 合作商户不诚信,骚扰家人,不合理要求",宁波银行,2022年01月24日 16:08," 解释,赔偿,退还利息",与滴滴金融合作的宁波银行直接贷有27000的额度 在2020年4月6月起 说的的3年期限 结果在2021年4月就不能用了 这个就不说了  我在平台借了有一笔钱  每期都还了 在最后还有2期时候因为一些原因 工资没到 导致逾期了 我也给银行客服打电话说明了情况 1月4号下午时候联系我 我没接到电话 就联系了我的家人 直给我打了一个电话我没接到就联系了我的家人   就在1月5号的时候有工作人员联系我 让我直接把剩下的几期直接全部结清 我说还是按每期还 直接说不行 我1月5号晚上6点我就把逾期的账单还了 之后银行工作人员联系让我把剩下的几期提前结清 因为滴滴金融软件原因不知道怎么提前结清 之后工作人员基本天天打电话过来问结清没 然后我就说到账单日的时候看看能不能结清账单日为每月19号 双方达成了一致 在16号的时候我收到一份快递 居然是宁波银行寄过来的律师函  而且上面的还款金额跟我剩余的还款金额不一样  目前剩余3757.23未还  没有说不还钱  给的处理方案不满意  要求全部结清  完全不给商量   我要求退还利息  剩余未还金额从新分期
 自动分期，手续费太高,宁波银行,2022年01月24日 01:13, 退款,当时办理时只是说额度高，没有说200块钱也需要分期啊，而且自动分期36期，手续费太高，利息也很高，而且自动分期无法关闭，希望能把我的分期取消，我可以一次性偿还本金，无需分期！
 没有借款合同,宁波银行,2022年01月20日 22:40, 处理逾期的账单和影响,本人曾在翼支付平台申请过贷款，放款放是宁波银行，由于疫情的影响在2020年3月份发生逾期，导致贷款一直处于逾期状态！经过一年的努力现已能够处理这笔逾期贷款，后经过联系翼支付客服和宁波银行客服索要借款，它们一直无法给到我！ 现在的诉求要求宁波银行提供改笔借款合同来处理此事和对我造成的不良影响
 乱扣费,宁波银行,2022年01月20日 12:05, 退款,今天10.38分收到信息支出36.66元要求宁波银行退款
" 客服服务态度差,催款电话太多",宁波银行,2022年01月20日 12:04, 改善服务,本人姓名:尤悦胜，身份证号:320111********041X，多次和宁波银行协商还款问题，一直都是互相推脱，每天面对20多个催收电话，希望贵行能改善一下服务，谢谢。
 无缘无故扣款,宁波银行,2022年01月20日 11:54, 退款,在没有任何开通什么app的情况下就扣59.63
" 功能限制,虚假宣传,客服服务态度差",宁波银行,2022年01月19日 15:34, 解封账户,①银行工作人员在推销直接贷业务时，虚假宣传，告知我和支付宝功能一样，实际完全不相同。②在使用过程中，本人征信并无任何问题，合同期限是三年，在未进行任何告知和通知的情况下，还款后不能再使用。存在严重的恶意抽贷行为。影响到我生意资金无法正常周转。③第1次投诉后银行告知无法恢复额度，完全是垄断行为，霸王条款。希望相关部门好好查询一下他们违规销售行为和恶意抽贷行为。
 每季度查询征信,宁波银行,2022年01月18日 09:12, 撤销征信查询记录,宁波银行每季度查询征信，没有得到我的授权，私自查询征信信息。
 私自扣款,宁波银行,2022年01月16日 18:20," 退款,解除协议",在云闪付查到自己名下的农业银行被绑定宁波银行的代收扣款协议。
 系统问题逾期,宁波银行,2022年01月16日 04:23," 征信,逾期罚息信用受损","系统升级无法还款,系统升级导致我逾期,升级导致逾期罚息"
 强制自动分期,宁波银行,2022年01月15日 11:53," 退款,减免提前还款费",宁波银行信用卡消费自动分期，办卡时只说明不超1W会自动分期，但是刷1w自动分期没说清楚，导致消费后发现，已经自动分期了，导致消费后产生提前还款手续费，要求退还手续费3%的1200手续费
 泄露个人信息，高利息,宁波银行,2022年01月15日 00:10, 协商还款,"1.由于武汉多次疫情导致生意倒闭，找工作工资也低，催收态度也很恶劣，精神压力大，无力承担大额贷款，自己已无还款能力.2.已向家人坦白，寻求帮助，从12月27就主动打电话找银行协商还款，自报家门是宁波分行的多人多次打电话问还款计划，都是去申请最终无果，说好回电也没有回。3.期间还有委外公司打电话恐吓质疑我没有打电话协商，要我跟他们协商，不知道宁波银行的规矩是什么，严重泄露我个人信息。打了这么多协商电话没有记录吗？4,违约金息费还是在增长，自己有很大的还款诚意，希望贵行给出一个我能承受的还款计划。"
 虚假宣传,宁波银行,2022年01月14日 23:05, 退款,宁波银行旗下万利金业务，通过推出各种打折优惠券，误导顾客办理贷款，月手续费0.7%，通过手续费打5折，说年利率只需4.2%，而实际所谓的等额本息，则通过复利计算，本金还少，利息依然计算，综合年化为8%左右，我一直以为我的贷款年化是4.2%，实际高达8%，无能为力，不敢用了，提前还款还不能直接还，还需要3%的手续费，费用极高，非常不合理，请求取消提前还款手续费，再也不想用这个贷款了，我立即把万利金所有贷款全部还完。
 宁波银行自动分期支付,宁波银行,2022年01月14日 17:34, 改善服务,因为物业费有优惠推荐办的宁波银行信用卡，办理时并未告知还款会自动分期且产生费用，经同样遭遇的朋友提醒才发现它设置的默认分期金额非常小，谁付一笔两三千块的钱要分36期？三年？这就是故意的，电话联系客服客服都可以取消分期但会产生手续费70多元，我朋友一样的情况这个手续费都取消了，但客服就是说我不行，请宁波银行给个说法。
 私自扣款,宁波银行,2022年01月14日 16:25, 赔偿,宁波银行在本人不知情的情况下以移动公司送礼品名义用本人户头贷款1010元，且本人也没有收到该款项，严重影响个人征信，该银行是不是在没有于本人联系且告知的情况下有权私自贷款且不放款给本人，欺骗消费者每月以50元扣费扣满20个月，严重影响个人征信，
" 冻结账户,暴力催收",宁波银行,2022年01月12日 18:24," 解释,解封账户,停止骚扰第三方",宁波银行私自泄露个人隐私，冻结循环额度，造成资金周转不开，造成逾期，催收还威胁上面。客服不给商量协商以及还款。
" 功能限制,合作商户不诚信,冻结账户,虚假宣传",宁波银行,2022年01月12日 15:22," 赔偿,解封账户",1.银行工作人员打电话推销时严重销售误导。告知我和支付宝一样，但实际完全不同。2.恶意停贷，冻结额度。贷款有效期是2024年，还进去后可用额度为0.3.还款提升比较含糊。
" 合作商户不诚信,冻结账户",宁波银行,2022年01月12日 11:52, 解封账户,本人多次与宁波银行客服沟通，希望解冻额度后再次使用，均以本人综合评分不足予以拒绝。一个正规的银行，不讲诚信，不讲基本的合约规范，单方面不提供证据的情况下，直接冻结，经过个人的多方查询，我征信从未出现问题，宁波银行直接贷客服编号为810***的人员，以各种理由拒绝解冻，并不能给出合理的证据。要求解冻额度，恢复正常使用。
 虚假宣传,宁波银行,2022年01月12日 09:39," 解释,赔偿",宁波银行小程序里的新用户助力88立减金领取失败，本人一开始就找来各种亲朋好友来帮忙助力，然后就完成了，贵行也没领取完的提示，只是失败，要求补发，给个说法解释！！
 私自扣款,宁波银行,2022年01月10日 13:06, 退款,电子银行显示中移电子消费，宁波银行扣费67.15元，
 征信未更新,宁波银行,2022年01月09日 21:36, 征信未更新,宁波银行的征信记录借呗20万额度在11.24日已销户，正常最迟30天都会更新。目前已经46天了征信还是显示贷款状态正常未销户(之外反馈的结清证明已经给到了，但是征信还是没有更新)，这是2回事，不是重复申请。请不要一直驳回，又不给解决方案，不行只能投诉到人民银行了。
 虚假宣传,宁波银行,2022年01月08日 17:35, 取消提前还款手续费,宁波银行万利金，利息计算方式和贷款完全不一样，时间越久利息越高，还到后面利息远远高于宣传，所以申请退了，但退出还要收取3％手续费，不合理，要求取消。
 提前还款收手续费,宁波银行,2022年01月06日 14:30, 免除手续费,2019年9月办理了宁波银行万利金信用卡，当时刚好有利息打折的优惠券，分3次提款90万元，还款一段时候后发现万利金利息很高，后期本金在减少的同时利息还是和之前一样，算下来年化利率高达12%，利息远远高于当时的宣传，利率和实际严重不符，存在欺诈行为！我要申请提前还款，提前还款还要收我剩余本金的3%手续费。现我要求提前还款，并免收手续费！
 违法放贷,宁波银行,2022年01月06日 13:55, 解释,昨天去打征信，发现我多了一笔来自宁波银行的贷款2300，显示2021年1月24日贷款，2023年1月10日到期。
 违法放贷,宁波银行,2022年01月05日 01:12," 解释,赔偿",我的征信记录莫名其妙出现了宁波银行的贷款！数额多达三万多人民币！本人从未进行过任何贷款！也从未办理过宁波银行的银行卡或信用卡！也从未接到过宁波银行的电活！这个行为太恶劣了，要不是我今天查了征信，我永远对不会知道自己竟然被贷款了！！！太过分了
 冻结账户,宁波银行,2022年01月03日 23:09, 解封账户,宁波银行于2020年8月通过电销授予我直接贷额度13万元，2021年5月将本人额度冻结。截止目前，本人多次与宁波银行客服沟通，希望解冻额度后再次使用，均以本人综合评分不足予以拒绝。本人因资金周转，确有存在征信查询多等情况，但2021年5月前后，本人征信查询不多。目前，本人已归还贷款105***，大小网贷、信用卡均按时还款，从未逾期。请宁波银行结合本人有能力有意愿按时还款的基础上，解冻额度，恢复正常使用。
 乱扣款达10个多月。,宁波银行,2021年12月31日 17:49, 要求退回所扣款。,中移公司宁波银行乱扣款达10个多月，当时没在意，后看每个月都这样扣款才注意问题严重。
 兑换奖品半年都没收到,宁波银行,2021年12月31日 13:16, 落实奖品,2021年6月30日在宁波银行app中的筑梦空间中兑换了一台小米小爱音箱，因为一直没有收到奖品，10月底开始联系宁波银行客服，客服给了一个订单号，但是到快递点去查询核实到快递系统里面并没有这个件，我也始终没有收到过相关通知。从11月初开始基本每周都和客服沟通，要求客服及时回电告知处理情况，但从未收到反馈电话。每次说是和快递公司核实有关情况，但从未告知具体核实情况，也一直不予反馈。6月底兑换的一台音箱，半年过去了，马上进入2022年了，截止目前仍然没有任何消息，没有任何核实结果，没有任何电话反馈。因为宁波银行app里面不支持截长图，放了一部分聊天记录进来。
 申请延期还款,宁波银行,2021年12月29日 17:51, 申请延期还款,与2021年开始陆续向宁波银行直接贷贷款，未还金额约一万元？因现在疫情又没有工资又放假了！现在实在没有还了，想个性话分期还款，本人有意愿还款！只是现在实在没办法了！
" 虚假宣传,终端设备故障",宁波银行,2021年12月29日 14:04," 解释,改善服务",助力了十个人之后，其他人助力显示助力已满，实际情况是并没有助力完成。故意不让助力虚假宣传
 虚假宣传,宁波银行,2021年12月28日 14:49, 解释,宁波银行宁来花虚假宣传，推出一个活动，拉人助力，说了每天有50名额，我领取了名额，然后拉人助力，两个人绑我助力，然后第三个人帮我助力就助力不了，虚假宣传
" 冻结账户,利息高，乱冻结账户",宁波银行,2021年12月24日 21:18," 退款,解释,改善服务,解封账户",打电话给95574说卡被冻结，客服说在深圳房地产行业不支持，解冻不了，换了惠州公司交社保，说地区不支持？万利金给金额的时候隔三差五打电话来说利息多低多好，给利息优惠券什么的，现在我说还不起那么多，让我找家人朋友借？和家人借了五万都还进去了，找你们工作人员协商说分期长一点，让我找家人朋友借？有钱我找你借吗？
 查我的征信问题,宁波银行,2021年12月24日 10:34, 解释,本人没有在宁波银行办理过业务，为什么会3次查我的征信。就在前几天又查询了一次。本人没有在宁波银行办理过贷款，为什么会有贷款审批，贷后管理。查我的征信应明确告知本人是宁波银行查询，是办理什么业务？还是什么合作机构？事情经过应让当事人(本人)心里知根知底。
 无法按时还款影响征信,宁波银行,2021年12月22日 22:42," 解释,赔偿",还款日无法还款 因为本人征信有其他需要使用 不能有逾期 今天还款日无法还款 如果上了征信这责任谁承担 设定规则时候要带上脑子 还款日 顾名思义晚上12点之前 我会在凌晨维护后还上 请给个合理说法 如果后续上了征信负面记录你们要承担法律责任
" 客服服务态度差,不作为,违规授信额度",宁波银行,2021年12月21日 12:49, 协商解决欠款问题,本人因出现经济困境，导致多家银行欠款逾期，其他银行已经协商好分期，宁波银行欠款额度最大，多次找他们电话协商，他们都不作为，不解决。明知我有协商意愿还委托催收人员多次打电话刁难，说我恶意拖欠，对我的生活工作造成影响，我明明逾期后已经第一时间向他们致电说明情况，并表达协商意愿。
 功能限制,宁波银行,2021年12月20日 16:31," 解释,改善服务",本人因为疫情现在导致逾期，工资不能按时发放，我希望能够给再给延期一下，希望能够给我一个机会
 乱扣费,宁波银行,2021年12月20日 14:45, 退款,2021年12月20日上午中移电子商务有限公司-宁波银行2从本人的中国银行卡上扣费49.57元，没说明原因，也没发短信通知，我是通过中国银行网银才知道的，不需要你的同意，也不需要任何缘由就这样把你的钱划走了，想想都后怕，这次扣你几十，下次说不准扣你几百几千的。。希望尽快给我退款并说明原因
 恶意查询征信信息,宁波银行,2021年12月15日 15:56," 赔偿,道歉",因个人原因查询征信报告，发现《宁波银行股份有限公司》以《贷后管理》的名义查询我的个人征信，未经本人授权，本人要求该公司做出相应解释，并删除此次查询记录.
 虚假宣传,宁波银行,2021年12月14日 21:57, 退款,宁波银行信用卡的宁好星期四活动，在上周四无锡一鸣真鲜活动领券后，并未如优惠券上描述执行16减15的活动，多次询问客服，客服表示这是地区性活动，限制参加卡的归属地，我的卡是上海办理的卡，所以不能参加，客服态度倨傲！问题是优惠券和活动说明详情均未提及该活动限制信用卡归属地而非持卡人所在地，该企业行为涉及虚假宣传，诱导消费，欺诈消费，要求道歉并按照活动退费，更正虚假行为！
 恶意让客户逾期,宁波银行,2021年12月11日 10:07, 赔偿,上月无法扣款，联系客服解决，这月又无法扣款给了个账户无法存款，恶意让客户造成逾期
 直接贷,宁波银行,2021年12月11日 02:30, 销户,因要申请贷款业务，申请上去拒贷，原因是有宁波银行直接贷产品，共有两个账户，查询后发现是使用花呗冲突，关闭花呗后还有一个账户未销户，期间一直联系宁波银行电话 得到的回复均是等待客服回复，现在政府部门都在推行最多跑一次  而我三番四次给银行打电话都无法解决，去宁波银行网点又和我讲这个是线上业务 他们查不到也没有权限
 贷款利率17%,宁波银行,2021年12月09日 21:09, 退还利息,宁波银行直接贷业务年化利息高达17%，超出规定的12%，本人还款长达11个月，希望宁波银行把多收的利息退还
 万利金,宁波银行,2021年12月09日 18:48, 退款,万利金贷款提前还款多收取手续费等费用。办理时候没有告知
" 虚假宣传,资金流失",宁波银行,2021年12月09日 16:19, 退款,宁波银行黄岩支行利用低利息虚假宣传招揽客户  实际支付利息远高于宣传利息 客户向网点反应后 一直推脱不解决  诉求 宁波银行按照宣传时的利息计算  并反还多付的利息
" 终端设备故障,客服服务态度差",宁波银行,2021年12月04日 11:04," 解释,改善服务,延期还款一年",尊敬的国家领导:我叫李江波，我在2020年12月20日.2021年7月20日，2021年10月17日分别借了三笔直接贷借款，我在老家开小饭店好食客，这些贷款分别用在装修店面上了，到目前为止因为疫情影响店里生意很差，我请求宁波银行给我延期还款，我目前没有还款能力，但是我打电话协商他们银行不受理，每天都让催收部门打电话催收严重影响了我的正常生活希望有关部门领导帮我处理一下。让一个老百姓正常的做生意。谢谢
 白领融延期问题,宁波银行,2021年12月04日 00:55, 解封额度，顺利延期,2018年12月宁波银行到我单位上门帮我办理了三年的白领融20万元信用贷款额度。后面我正常使用，他们将我额度提升至40万。期间我正常使用，如期还款，最近一次还款，是在十月份，我还清两笔共24万贷款加利息2.8万元。后面10月份客服告知我，我的额度被冻结，不能正常使用和顺利延期两年。要我提供房产记录，或者找一个共同还款人之后才可以解封额度和办理延期。我选择找共同还款人，花费一些时间。后面直销银行客服找我了解情况，当面答应我只要我还清12月30日的一笔贷款，就可以帮我顺利解封额度和办理两年延期。不料两天后再询问客服，却改变说法，要求我还清一半贷款，才可以帮我解封额度和办理延期。而且延期只能持续一年，额度也减半了。客服说辞前后不一，我信用良好，从未逾期，却要将我额度减半，有不合理条件延期，这太不合理了。我信用良好，有能力如期还款，希望银行可以维持我的40万额度，然后帮我顺利延期两年。
